Name,Applicants total,Admissions total,Enrolled total,Percent admitted - total,Admissions yield - total,Total price for in-state students living on campus 2013-14,Total price for students living on campus,State abbreviation,Sector of institution,Control of institution,Historically Black College or University,Historically Black Boolean,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Graduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid
MidAmerica Nazarene University,1012,731,198,72,27,33687,33687,Kansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (medium programs),1907,1491,416,1438,469,1131,307,99,97,43,43,22,19,95,76,76,6
Ottawa University-Ottawa,267,264,145,99,55,36482,36482,Kansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,558,523,35,538,20,522,16,100,100,37,37,36,36,100,79,79,1
Pittsburg State University,3073,2427,1144,79,47,17296,27176,Kansas,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (larger programs),7400,6006,1394,6236,1164,5625,611,91,77,40,39,10,17,54,63,63,3
University of Saint Mary,767,361,109,47,30,34536,34536,Kansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Fringe,Master's Colleges and Universities (medium programs),1325,914,411,890,435,566,324,100,100,58,40,18,27,99,94,81,13
Southwestern College,436,391,128,90,33,37632,37632,Kansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Master's Colleges and Universities (medium programs),1661,574,1087,1358,303,553,805,100,100,43,43,14,37,100,80,80,5
Sterling College,883,389,169,44,43,30652,30652,Kansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Baccalaureate Colleges--Diverse Fields,690,595,95,690,0,595,95,100,100,42,41,6,27,100,80,80,6
Tabor College,517,380,159,74,42,36750,36750,Kansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Baccalaureate Colleges--Diverse Fields,736,565,171,725,11,565,160,100,100,46,43,40,24,100,79,79,8
Wichita State University,3492,3344,1412,96,42,17397,25431,Kansas,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (high research activity),14386,10184,4202,11670,2716,8807,2863,89,89,39,39,7,21,64,46,46,1
Alice Lloyd College,3656,1646,189,45,11,21800,21800,Kentucky,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Remote,Baccalaureate Colleges--Diverse Fields,631,606,25,631,0,606,25,100,100,65,65,10,76,73,72,71,4
Asbury University,1211,796,322,66,40,35494,35494,Kentucky,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Fringe,Baccalaureate Colleges--Diverse Fields,1797,1390,407,1547,250,1326,221,99,97,53,48,27,57,94,90,89,12
Bellarmine University,4160,3943,676,95,17,52574,52574,Kentucky,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),3419,2682,737,2593,826,2378,215,100,100,27,27,25,63,100,65,65,9
Berea College,1620,551,397,34,72,31870,31870,Kentucky,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Arts & Sciences,1623,1587,36,1623,0,1587,36,100,100,91,91,4,40,100,30,19,10
Brescia University,3582,1612,150,45,9,30390,30390,Kentucky,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Diverse Fields,949,695,254,928,21,688,240,100,99,51,45,33,79,97,93,91,7
Campbellsville University,2649,1813,525,68,29,33628,33628,Kentucky,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Master's Colleges and Universities (medium programs),3520,2195,1325,3048,472,1982,1066,95,94,57,57,3,72,90,70,68,3
Centre College,2533,1737,377,69,22,48020,48020,Kentucky,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Arts & Sciences,1381,1378,3,1381,0,1378,3,97,97,16,15,5,51,97,48,46,6
University of the Cumberlands,2527,1801,488,71,27,33500,33500,Kentucky,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Master's Colleges and Universities (medium programs),4924,2439,2485,2096,2828,1514,582,100,100,58,58,38,56,100,79,79,2
Eastern Kentucky University,9932,5961,2306,60,39,18960,28032,Kentucky,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (larger programs),16111,11651,4460,13891,2220,10969,2922,97,95,48,48,13,81,43,64,64,2
Georgetown College,1735,1426,238,82,17,44110,44110,Kentucky,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Fringe,Baccalaureate Colleges--Arts & Sciences,1399,1017,382,1043,356,1000,43,98,98,37,37,6,75,98,73,73,6
Kentucky State University,6399,2415,506,38,21,17506,26302,Kentucky,"Public, 4-year or above",Public,Yes,1,Town: Distant,Baccalaureate Colleges--Arts & Sciences,2533,1887,646,2370,163,1813,557,89,83,76,75,16,22,39,82,82,1
Kentucky Wesleyan College,1006,675,163,67,24,32190,32190,Kentucky,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Diverse Fields,657,621,36,657,0,621,36,100,100,50,48,31,72,100,89,85,4
University of Kentucky,19810,13592,4702,69,35,23732,34814,Kentucky,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (very high research activity),28435,25658,2777,21441,6994,19884,1557,93,85,26,25,5,66,59,49,48,7
Kentucky Christian University,590,303,135,51,45,30256,30256,Kentucky,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,594,496,98,559,35,494,65,100,100,52,52,13,42,97,83,83,6
